Sample ID#,CoreID,PairID,Site,Depth,Roots,Moisture,LOI,TN,TC,EP,Ca,K,Mg,Na,pH,DOC,NH4-N,NO3-N,CH4.prod,CH4.ox,CO2.prod
8,1,1,lowland,>10,no.roots,83,9.7,0.301,6.02,87.2,96.3,21,10.3,2.5,5.21,0.538180984,18.84891803,0.132459016,0.007271285,0.44204675,0.975718279
7,1,1,lowland,0-10,no.roots,737,75.4,2.202,36.82,22.2,513.1,125.1,76.9,6.1,5.08,0.259897785,25.51277683,0.197614991,0,1.172511142,0.790219863
36,1,1,lowland,LFH,no.roots,548,83.8,2.319,42.27,39.3,1298.8,344.7,158.7,16.4,4.9,0.261689912,38.7354997,0.801815619,2.842714446,0.413892578,2.774698145
4,1,1,lowland,>10,roots,410,64.4,1.909,33.4,45.8,220.9,130.7,49.8,16.3,4.96,0.504136804,36.60140654,4.626477483,0.009024261,0.233687486,1.426792894
3,1,1,lowland,0-10,roots,601,82,2.383,38.42,NA,460,161,87.8,29.4,4.96,0.288538296,39.68013913,9.552626087,0.013160043,0.325602914,1.022070253
35,1,1,lowland,LFH,roots,532,81.8,2.142,41.16,34.7,731.9,319.6,111.7,18.1,4.83,0.310428085,63.26887897,21.75491422,0.208190525,0.672310445,1.833937115
6,1,2,upland,>10,no.roots,NA,23.9,0.826,11.33,270.4,717.5,204.8,32.1,25.3,NA,NA,NA,NA,NA,NA,NA
5,1,2,upland,0-10,no.roots,114,22.1,0.741,11.71,207.9,843.2,198.3,32,23.3,5.04,0.441837108,17.45696385,61.86621686,0.006461359,0.332192059,0.747606707
37,1,2,upland,LFH,no.roots,144,27.2,0.985,14.43,509.2,1945.4,373.2,100.7,24.8,4.93,0.33666407,24.08950754,21.88570352,0,0.362233134,1.984587238
2,1,2,upland,>10,roots,94,23.4,0.427,9.94,25.4,54.5,37.1,10.6,3.5,4.85,0.756500551,31.96760857,6.800562692,0,0.504979513,1.003347875
1,1,2,upland,0-10,roots,98,26.3,0.731,14.54,37.7,99,95.6,25.4,5,4.78,0.835687327,109.5093033,9.294864866,0,0.618968689,2.086698075
42,1,2,upland,LFH,roots,182,60.6,1.838,32.63,233,1431.9,699.4,211.7,20.3,4.83,0.545034259,224.9335926,136.7050093,0,0.410947813,5.041907548
16,3,3,lowland,>10,no.roots,49,6.6,0.157,3.08,50.8,49.2,26.1,5.6,5,5.21,0.574638321,35.43144733,49.17877558,0,0.699798776,0.566122345
15,3,3,lowland,0-10,no.roots,210,40.3,1.276,21.56,121.1,762.4,197.6,65.1,34.2,5.06,0.369749358,32.09279114,90.57220074,0,0.340888621,0.766078963
40,3,3,lowland,LFH,no.roots,415,75.1,2.376,38.33,785,4303.8,543.1,362.2,61.7,5.28,0.143429089,39.9680124,14.70036454,0.043925159,0.33281383,1.984263704
12,3,3,lowland,>10,roots,160,29.8,0.823,15.15,35,108.6,90.5,21.5,7,5.1,0.671610435,57.24660869,5.064347826,0,0.582660232,1.594216007
11,3,3,lowland,0-10,roots,246,61.4,1.963,31.86,43.4,191.7,253.6,57.3,13.6,5.01,0.614889466,85.94367546,12.162,0.005944924,0.390711677,1.801668741
31,3,3,lowland,LFH,roots,309,84.5,1.925,39.51,61.9,804.2,558.5,105,37.7,4.85,0.427313154,91.52854033,15.22035148,0.006931787,0.425762173,3.333762383
14,3,4,upland,>10,no.roots,39,8.8,0.194,3.79,60.2,128.5,22.3,8.1,2.6,4.74,1.622602686,11.02554064,14.08465018,0,0.872507202,0.326177653
13,3,4,upland,0-10,no.roots,79,12.6,0.319,5.29,492.9,724.9,59.5,18,2.6,4.68,0.701518519,29.22767677,24.24784512,0,0.471320918,0.789949479
34,3,4,upland,LFH,no.roots,129,29.2,0.982,18.69,864.2,2663.8,530.1,190,12.4,4.72,0.257017001,28.21959184,10.79706122,0.008029137,0.463901478,3.952014524
10,3,4,upland,>10,roots,34,8,0.185,3.67,10.7,49.8,19.7,11.6,4,4.81,1.335939882,73.05398818,7.642130179,0,0.963451372,1.068915115
9,3,4,upland,0-10,roots,65,17.7,0.643,12.05,27.6,360.4,115.2,59.1,5.3,4.25,0.853512873,205.9198946,21.38357842,0,0.644778694,3.320322517
33,3,4,upland,LFH,roots,114,40.6,1.124,22.36,98.2,2459.3,467.7,268.3,14,5.13,0.884224358,389.4709274,6.74627933,0.007623533,0.626274318,7.106810445
24,5,5,lowland,>10,no.roots,132,21.5,0.652,11.36,143.9,87.6,61.6,18.6,7.8,4.92,0.434697103,29.73134328,0.579455663,0.008910119,0.487982974,0.715173514
23,5,5,lowland,0-10,no.roots,156,27.6,0.793,13.52,142.6,127.7,76.8,29.2,6.3,4.9,0.354373241,31.50312215,0.206545603,0.003615349,0.581453568,0.6244442
32,5,5,lowland,LFH,no.roots,318,67.3,1.203,32.89,NA,2234.1,520.1,239.7,41.4,4.89,0.353377135,64.07621551,0.299605782,0.256379361,0.350226605,4.593175838
20,5,5,lowland,>10,roots,113,21.3,0.586,11.59,112,34,34.3,12.5,6.8,4.76,0.613614607,4.753988764,4.279719101,0,0.509600037,0.842361844
19,5,5,lowland,0-10,roots,166,36.3,1.22,21.7,125.5,59.5,107.4,26.1,11.5,4.81,0.475577211,49.06642231,7.937498007,0,0.439172263,1.132597169
39,5,5,lowland,LFH,roots,371,72.2,2.002,36.95,141.6,263.6,372.6,81.9,21.5,4.75,0.291267739,108.7836256,14.45675126,0.023468166,0.415543332,4.0463762
22,5,6,upland,>10,no.roots,36,12.5,0.317,4.37,51.7,53.7,15.7,5.6,9.2,4.88,2.113707865,35.68539326,47.28089888,0,1.195450551,0.423296043
21,5,6,upland,0-10,no.roots,33,15.5,0.611,6.27,477.1,715.4,71.2,49.8,27.4,5.09,2.381215131,151.9341906,269.1000486,0.016462781,0.849016915,1.187502505
29,5,6,upland,LFH,no.roots,60,28.8,4.495,12.7,1453.4,2318.9,354,140.3,31.2,4.92,1.153367239,211.734214,433.3874505,0,0.584518761,4.789601509
18,5,6,upland,>10,roots,33,10.5,0.244,4.34,49.8,25.9,14.4,7.2,3.4,5.04,1.615676008,59.09940727,15.852375,0,1.264015541,0.797753782
17,5,6,upland,0-10,roots,38,16,0.55,7.7,51.2,84.4,75.5,24.9,3.4,4.89,1.890876522,182.1631304,71.58991305,0,1.012971807,2.307978842
38,5,6,upland,LFH,roots,54,32.4,1.159,18.62,116.3,1272.9,359.3,198,8.3,4.87,1.631501116,301.1935965,102.7464206,0.017960078,1.188141487,9.282589662
28,6,7,upland,>10,no.roots,44,13.2,1.398,6.2,57.7,138.1,17.8,8.6,3.7,4.86,1.071965932,48.45043761,25.39740681,0,0.907210855,0.758313243
27,6,7,upland,0-10,no.roots,28,15.3,0.956,7.65,104.8,339.8,32.1,19.6,4.3,4.86,1.607554751,104.4363801,90.30192761,0,1.158629652,0.623785093
41,6,7,upland,LFH,no.roots,67,22.9,0.66,12.29,175.8,1398.2,268,155.8,18.9,4.87,0.646587672,69.71875863,132.381931,0,0.622203455,6.726975332
26,6,7,upland,>10,roots,34,14.1,0.675,7.33,41.9,300.9,21.3,12.5,2.9,4.89,1.51328454,64.62299413,17.15040117,0,1.021201376,0.507862302
25,6,7,upland,0-10,roots,50,20.1,0.961,10.45,37.6,408.9,91,46.1,5.6,4.74,1.051374481,196.2147775,58.28232642,0,0.797682203,2.880124903
30,6,7,upland,LFH,roots,90,36.1,3.564,20.04,110.6,2554.4,423.5,270.5,12.5,5.47,1.018075278,477.4168521,8.174512067,0.013030395,1.102553663,4.828922169
